# Layer top (km), Vp (km/s), Vs (km/s)
-5.0	5.196	3.035
0.0	5.883	3.3865
3.0	6.2	3.566
7.0	6.3625	3.67
12.0	6.5065	3.762
17.0	6.66	3.871
20.0	6.749	3.92
23.0	6.9685	4.053
27.0	7.3875	4.1965
31.0	7.8925	4.4845
35.0	8.089	4.7805
40.0	8.2405	4.844
45.0	8.3205	4.8655
50.0	8.396	4.893
60.0	8.4605	4.921
80.0	8.539	4.981
